Stemmed Term,Set A occurences,Set B occurences,ratio DocFreq(A) to DocFreq(B)
1 2,0.09486166007905138,0.16245136186770429,0.5839388416842204
1 21,0.11857707509881422,0.0029182879377431907,40.63241106719367
1 ad,0.05533596837944664,0.023346303501945526,2.370223978919631
1 antidump,0.08695652173913043,0.019455252918287938,4.469565217391304
1 april,0.043478260869565216,0.04961089494163424,0.876385336743393
1 articl,0.06324110671936758,0.13813229571984437,0.45782998385570334
1 august,0.07114624505928854,0.047665369649805445,1.492619182060176
1 februari,0.1225296442687747,0.0622568093385214,1.9681324110671936
1 juli,0.05138339920948617,0.05642023346303502,0.910726454954341
1 march,0.09486166007905138,0.024319066147859923,3.9007114624505927
1 novemb,0.08695652173913043,0.06809338521400778,1.2770186335403728
1 octob,0.08300395256916997,0.10700389105058365,0.775709665828243
1 septemb,0.06719367588932806,0.02529182879377432,2.656734569778048
10 day,0.05928853754940711,0.08365758754863813,0.7087048441952386
10 februari,0.05138339920948617,0.02237354085603113,2.296614538580512
100 cent,0.043478260869565216,0.06906614785992218,0.6295162278015921
103316 vol,0.04743083003952569,0.0048638132295719845,9.751778656126481
11 antidump,0.043478260869565216,0.0038910505836575876,11.17391304347826
11 articl,0.06324110671936758,0.10894941634241245,0.5804630152456239
11 august,0.10276679841897234,0.054474708171206226,1.8865047995482778
11 dsu,0.16996047430830039,0.09533073929961089,1.7828506896829879
11 februari,0.043478260869565216,0.04571984435797665,0.9509713228492137
111 112,0.06719367588932806,0.008754863813229572,7.675010979358805
111 113,0.08300395256916997,0.007782101167315175,10.66600790513834
111 antidump,0.05533596837944664,0.0019455252918287938,28.442687747035574
112 113,0.11067193675889328,0.014591439688715954,7.5847167325428195
112 ad,0.039525691699604744,0.006809338521400778,5.804630152456239
112 antidump,0.04743083003952569,0.0038910505836575876,12.189723320158102
113 ad,0.06324110671936758,0.0019455252918287938,32.50592885375494
113 antidump,0.09881422924901186,0.0029182879377431907,33.86034255599473
12 februari,0.06719367588932806,0.013618677042801557,4.933935629587803
12 januari,0.06719367588932806,0.06420233463035019,1.0465924062762009
12 june,0.04743083003952569,0.05252918287937743,0.9029424681598593
12 march,0.13043478260869565,0.048638132295719845,2.6817391304347824
12 month,0.039525691699604744,0.05155642023346303,0.7666492654187487
126 appel,0.039525691699604744,0.006809338521400778,5.804630152456239
128 dsu,0.043478260869565216,0.03501945525291829,1.2415458937198067
129 disput,0.039525691699604744,0.037937743190661476,1.041856694030607
129 dsu,0.05533596837944664,0.047665369649805445,1.1609260304912479
13 februari,0.06719367588932806,0.08171206225680934,0.8223226049313006
14 februari,0.07509881422924901,0.026264591439688716,2.859317815839555
15 decemb,0.039525691699604744,0.04377431906614786,0.9029424681598596
15 januari,0.04743083003952569,0.03501945525291829,1.354413702239789
15 march,0.043478260869565216,0.01848249027237354,2.3524027459954233
15 septemb,0.07905138339920949,0.033073929961089495,2.390141827481981
16 2012,0.039525691699604744,0.0009727626459143969,40.63241106719368
16 januari,0.07905138339920949,0.06906614785992218,1.1445749596392585
16 juli,0.043478260869565216,0.038910505836575876,1.117391304347826
164 articl,0.05533596837944664,0.04085603112840467,1.354413702239789
17 agreement,0.10276679841897234,0.033073929961089495,3.1071843757265754
17 antidump,0.08695652173913043,0.008754863813229572,9.932367149758454
17 decemb,0.09486166007905138,0.06031128404669261,1.5728675251816906
17 februari,0.05138339920948617,0.0622568093385214,0.8253458498023716
17 june,0.04743083003952569,0.03599221789883268,1.3178079265035787
17 march,0.05928853754940711,0.017509727626459144,3.3860342555994727
17 novemb,0.05533596837944664,0.04085603112840467,1.354413702239789
17 understand,0.07905138339920949,0.06614785992217899,1.1950709137409905
172 173,0.08695652173913043,0.0048638132295719845,17.878260869565217
173 174,0.05138339920948617,0.0038910505836575876,13.205533596837945
173 agreement,0.06719367588932806,0.01264591439688716,5.313469139556096
174 ad,0.039525691699604744,0.011673151750972763,3.386034255599473
174 agreement,0.07509881422924901,0.0,inf
174 antidump,0.11857707509881422,0.007782101167315175,15.237154150197627
175 understand,0.05138339920948617,0.05252918287937743,0.9781876738398477
176 antidump,0.06719367588932806,0.007782101167315175,8.634387351778656
176ii ad,0.05138339920948617,0.006809338521400778,7.546019198193111
176ii antidump,0.07509881422924901,0.005836575875486381,12.866930171277996
18 antidump,0.05138339920948617,0.0038910505836575876,13.205533596837945
18 august,0.05928853754940711,0.037937743190661476,1.5627850410459108
18 june,0.043478260869565216,0.03501945525291829,1.2415458937198067
18 month,0.05138339920948617,0.029182879377431907,1.760737812911726
181 antidump,0.039525691699604744,0.023346303501945526,1.6930171277997366
184 antidump,0.09090909090909091,0.01556420233463035,5.840909090909091
19 cfr,0.1422924901185771,0.047665369649805445,2.985238364120352
19 decemb,0.08300395256916997,0.08073929961089495,1.0280489547121292
19 februari,0.05533596837944664,0.061284046692607,0.9029424681598595
19 june,0.07114624505928854,0.08657587548638132,0.8217791002353778
19 march,0.09881422924901186,0.03501945525291829,2.8216952129995607
19 unit,0.043478260869565216,0.026264591439688716,1.6553945249597424
19 usc,0.07905138339920949,0.047665369649805445,1.65846575784464
191 dsu,0.09090909090909091,0.058365758754863814,1.5575757575757576
