Stemmed Term,mean case doc freq over all A cases,median case doc freq over all A cases,SD of case doc freq over all A cases
1 2,0.061712163912325452,0.052631578947368418,0.036928873971687995
1 21,0.047556319756481273,0.043478260869565216,0.039757434610701074
1 ad,0.029385238458465003,0.0,0.038890561554980517
1 antidump,0.05218835438851592,0.050000000000000003,0.038679808962768382
1 april,0.02903852186460882,0.0,0.042107010119298446
1 articl,0.049084486578765754,0.043478260869565216,0.043662975646086483
1 august,0.044059699417755685,0.041666666666666664,0.045965793068678422
1 februari,0.048244150444311969,0.050000000000000003,0.038348734016230512
1 juli,0.015200138026224981,0.0,0.03703059150163536
1 march,0.017539682539682539,0.0,0.037279121907699497
1 novemb,0.056491893986173151,0.050000000000000003,0.044129960869192499
1 octob,0.037915259162398754,0.028571428571428571,0.047194736802060995
1 septemb,0.042329726703801279,0.041666666666666664,0.046536330991365865
10 day,0.022964647338721913,0.0,0.025790165646326836
10 februari,0.025243301490441079,0.0,0.043720511606445099
100 cent,0.015358868184955143,0.0,0.02287475868807852
103316 vol,0.018446115288220551,0.0,0.038000674083941949
11 antidump,0.029472583846658417,0.0,0.03873457489386576
11 articl,0.059066661266822806,0.052631578947368418,0.040106314796888691
11 august,0.027298065425000406,0.0,0.033560975526394997
11 dsu,0.063616925817087361,0.052631578947368418,0.034342996751146028
11 februari,0.0091851004322400197,0.0,0.018495156722037831
111 112,0.019338553117662017,0.0,0.023996424195110593
111 113,0.010208118335053317,0.0,0.020661262670230905
111 antidump,0.027868573821595761,0.0,0.038237320066025614
112 113,0.019948774322848896,0.0,0.024708352355747566
112 ad,0.015416984490211035,0.0,0.021941834302714992
112 antidump,0.015416984490211035,0.0,0.021941834302714992
113 ad,0.016615440989515562,0.0,0.023784800339229067
113 antidump,0.030942563142724675,0.028571428571428571,0.037753639871614807
12 februari,0.014773335726357669,0.0,0.024888180059861206
12 januari,0.041272175051283951,0.043478260869565216,0.0388412415789091
12 june,0.022217681885874103,0.0,0.038445128797561914
12 march,0.047426449626611161,0.050000000000000003,0.030823297483020765
12 month,0.018925756420035595,0.0,0.023358412919151011
126 appel,0.022671886450995347,0.0,0.02576207934255469
128 dsu,0.035844425512617725,0.041666666666666664,0.034895278263890217
129 disput,0.021941629435908612,0.0,0.024625515349053322
129 dsu,0.029196531396692926,0.041666666666666664,0.025154737865358476
13 februari,0.050925854704963594,0.043478260869565216,0.047051951282571433
14 februari,0.021604010025062657,0.0,0.042421357954821388
15 decemb,0.033700181827116808,0.0,0.049120015589985716
15 januari,0.01556698652000846,0.0,0.022806447003851281
15 march,0.019773335726357665,0.0,0.030541762564390538
15 septemb,0.033306807085915983,0.041666666666666664,0.038695027155453351
16 2012,0.0019047619047619048,0.0,0.007126966450997984
16 januari,0.042206179700458875,0.043478260869565216,0.040703140609112939
16 juli,0.029405370358392299,0.0,0.035285262815565162
164 articl,0.015592423086702261,0.0,0.022226321913233579
17 agreement,0.064536627030906207,0.052631578947368418,0.044958643757140426
17 antidump,0.054051708425783003,0.052631578947368418,0.038888004336864977
17 decemb,0.043111875312036835,0.043478260869565216,0.041077086878063246
17 februari,0.015416984490211035,0.0,0.021941834302714992
17 june,0.0092477570738440304,0.0,0.019779307335101783
17 march,0.017660455486542444,0.0,0.037359937227176142
17 novemb,0.032271610398545383,0.0,0.040660544172785404
17 understand,0.02337020086448004,0.0,0.025572049546765552
172 173,0.02522372058177685,0.0,0.030128973892356647
173 174,0.017563265095234405,0.0,0.027737391153768391
173 agreement,0.025788373320342627,0.0,0.039528559739690598
174 ad,0.017734543092599361,0.0,0.022473174097302588
174 agreement,0.044018291550260859,0.028571428571428571,0.051810760085938927
174 antidump,0.049256386788356102,0.043478260869565216,0.044818504909360554
175 understand,0.02337020086448004,0.0,0.025572049546765552
176 antidump,0.043241349194371143,0.043478260869565216,0.03727202343247242
176ii ad,0.022964647338721913,0.0,0.025790165646326836
176ii antidump,0.032488456862531441,0.028571428571428571,0.038698217786292864
18 antidump,0.015011430964452906,0.0,0.022049855072701515
18 august,0.032358586732661308,0.041666666666666664,0.029377889476886701
18 june,0.025266955266955264,0.0,0.042313994236221959
18 month,0.021418753618915147,0.0,0.023737571761286397
181 antidump,0.016026468558437867,0.0,0.027134647746194316
184 antidump,0.030942563142724675,0.028571428571428571,0.037753639871614807
