Stemmed Term,Set A occurences,Set B occurences,ratio DocFreq(A) to DocFreq(B)
0,55,1139,0.048287971905179985
1,1594,16779,0.094999702008462958
10,409,6677,0.061255054665268836
100,67,1861,0.036002149382052658
101,48,1472,0.032608695652173912
102,48,1277,0.037588097102584185
103,35,1105,0.031674208144796379
103316,18,9,2.0
104,43,542,0.079335793357933573
105,41,497,0.08249496981891348
106,29,482,0.060165975103734441
107,33,392,0.084183673469387751
108,51,413,0.12348668280871671
109,48,447,0.10738255033557047
11,952,6881,0.13835198372329605
110,28,442,0.063348416289592757
111,325,550,0.59090909090909094
112,319,819,0.3894993894993895
113,448,641,0.69890795631825275
114,64,1323,0.048374905517762662
115,53,433,0.12240184757505773
116,29,537,0.054003724394785846
117,39,522,0.074712643678160925
118,27,398,0.0678391959798995
119,52,734,0.070844686648501368
11the,13,1,13.0
12,477,3876,0.12306501547987617
120,25,427,0.058548009367681501
121,56,683,0.081991215226939973
122,178,694,0.25648414985590778
1222,68,382,0.17801047120418848
123,38,490,0.077551020408163265
124,35,481,0.072765072765072769
125,50,3623,0.013800717637317141
126,62,420,0.14761904761904762
127,130,953,0.13641133263378805
128,52,844,0.061611374407582936
129,77,722,0.10664819944598337
13,298,4096,0.07275390625
130,60,337,0.17804154302670624
131,40,598,0.066889632107023408
132,66,524,0.12595419847328243
133,52,375,0.13866666666666666
134,37,298,0.12416107382550336
135,70,390,0.17948717948717949
136,28,355,0.078873239436619724
137,40,386,0.10362694300518134
138,31,361,0.085872576177285317
139,24,355,0.067605633802816895
13the,11,6,1.8333333333333333
14,427,4293,0.099464244118332171
140,34,347,0.097982708933717577
141,19,335,0.056716417910447764
142,55,387,0.1421188630490956
143,25,322,0.077639751552795025
144,31,344,0.090116279069767435
145,27,336,0.080357142857142863
146,42,333,0.12612612612612611
147,26,335,0.077611940298507459
148,34,360,0.094444444444444442
149,15,358,0.04189944134078212
15,543,3813,0.14240755310778913
150,24,366,0.065573770491803282
151,25,1032,0.024224806201550389
152,17,1214,0.01400329489291598
153,26,345,0.075362318840579715
154,24,755,0.031788079470198675
155,31,996,0.03112449799196787
156,33,333,0.0990990990990991
157,35,680,0.051470588235294115
158,29,414,0.070048309178743967
159,21,255,0.082352941176470587
15the,11,2,5.5
16,303,3057,0.099116781157998032
160,39,316,0.12341772151898735
161,43,522,0.082375478927203066
162,33,308,0.10714285714285714
163,22,286,0.076923076923076927
164,59,471,0.12526539278131635
165,16,316,0.050632911392405063
166,34,279,0.12186379928315412
167,28,371,0.075471698113207544
1673,67,29,2.3103448275862069
168,21,263,0.079847908745247151
169,30,245,0.12244897959183673
17,421,2867,0.14684339030345309
171,17,321,0.052959501557632398
172,55,376,0.14627659574468085
173,84,316,0.26582278481012656
174,221,313,0.70607028753993606
175,72,509,0.14145383104125736
175ii,49,11,4.4545454545454541
176,117,498,0.23493975903614459
176i,135,60,2.25
176ii,221,39,5.666666666666667
177,23,220,0.10454545454545454
178,37,233,0.15879828326180256
18,712,2983,0.23868588669125043
181,244,1968,0.12398373983739837
182,28,331,0.084592145015105744
183,65,365,0.17808219178082191
184,338,483,0.69979296066252583
185,25,313,0.079872204472843447
187,20,270,0.07407407407407407
188,27,244,0.11065573770491803
19,666,3934,0.16929334011184544
190,22,228,0.096491228070175433
191,110,799,0.13767209011264081
1916,137,1281,0.10694769711163153
192,54,445,0.12134831460674157
193,33,740,0.044594594594594597
1930,112,338,0.33136094674556216
194,30,1025,0.029268292682926831
1947,62,424,0.14622641509433962
195,23,233,0.098712446351931327
1960,70,84,0.83333333333333337
1969,15,202,0.074257425742574254
197,17,236,0.072033898305084748
1993,40,1549,0.025823111684958037
1994,2560,12580,0.20349761526232116
1994and,19,1,19.0
1994articl,17,0,inf
1994gatt,11,1,11.0
1995,130,1636,0.079462102689486558
1996,136,3333,0.040804080408040802
1996i,32,97,0.32989690721649484
1997,206,3034,0.067897165458141062
1997i,32,120,0.26666666666666666
1998,349,3929,0.088826673453805044
1998dsr,15,0,inf
1998i,17,76,0.22368421052631579
1999,489,3115,0.15698234349919743
1a,40,949,0.04214963119072708
2,1580,14156,0.11161345012715457
20,526,4338,0.12125403411710466
200,16,449,0.035634743875278395
2000,430,3792,0.11339662447257384
